,question,relevant_documents_from_dense_retrieval
93,"כיצד מתמודדת התכנית עם תחום אנרגיה, מים וטכנולוגיות מתקדמות?",[]
94,מדוע חשוב רקע בביוכימיה במסלול ביו-חומרים של הנדסה כימית?,[]
95,מהן אפשרויות המחקר במסלול בדגש למחקר בהנדסה כימית?,"[Document(id='14958da9-74d6-4fa0-a3a9-9465c24f3a4b', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות הפארמה המזון ובמגוון נוסף של תעשיות, שבהן הם\nממלאים תפקידי פיתוח תהליכים של ביו-חומרים, המצריכים הבנה ביו-פיסיקאלית מעמיקה. המסלול\nיספק את הרקע המתאים לבוגרים אלו.\nמסלול בדגש למחקר\nמסלול זה יחשוף את הסטודנטים כבר ב')]"
96,כיצד נוצרת נקודת המפגש בין כימיה להנדסה כימית בנושא ננוטכנולוגיה?,[]
97,אילו קורסי ליבה עוסקים בתרמודינמיקה וריאקטורים כימיים?,"[Document(id='82213821-a68f-4868-a94e-75b56def0e12', metadata={'source': '361-2025.pdf', 'start_index': 15938}, page_content=',\nכגון מבוא להנדסת חשמל, מבוא למחשבים, מערכות לינאריות והתקנים אלקטרוניים. בנוסף לכך, התלמיד בתוכנית\nמתחיל להחשף לתכנים יותר אלגוריתמיים בקורס תכן רשתות: תורת הגרפים. מקצועות אלה מקנים לתלמיד את\nהכלים המתמטיים הדרושים לאנליזה ולסינטזה של המערכות השונות')]"
98,מהו משך הלימודים ומספר נקודות הזכות הנדרש לתואר בוגר בהנדסה כימית?,"[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n')]"
99,כיצד משתלבת חשיבה ירוקה בעיצוב מוצרים ותהליכים כימיים?,[]
100,מהו מקצוע הנדסת תעשייה וניהול וכיצד הוא מוגדר במסמך?,[]
101,מהם האתגרים המרכזיים שמולם ניצבים מהנדסי תעשייה וניהול בעולם המודרני?,"[Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
102,מהם הכישורים הנדרשים ממהנדס תעשייה וניהול לפי הטקסט?,"[Document(id='1cfbf866-2595-4684-af89-6f94b3582033', metadata={'source': '367-2025.pdf', 'start_index': 21054}, page_content='לווים) ולהגיש מכתב מהמנחה. אם למנחה המיועד יש\nהיכרות מעמיקה עם המועמד, מכתב זה יכול להיחשב כאחד ממכתבי ההמלצה הדרושים.\nתלמידים עם תואר ראשון בתחום שאינו הנדסה ביורפואית מוזמנים להגיש מועמדות אם מצאו מנחה מתאים.\nקבלה מתארים ראשונים שאינם מתחום ההנדסה דורשת')]"
103,מהו חזון המחלקה להנדסת תעשייה וניהול ויעדיה?,"[Document(id='3bf49e53-a5cd-4ec4-b620-4ce81496c058', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� יידע\nמעמיק, תאורטי ומעשי, ייחודי ובין-תחומי. הידע הזה נמצא במלואו, ובהיבטים רבים, בבית הספר להנדסת\nחשמל ומחשבים באוניברסיטת בן-גוריון. אנו פותחים לימודי מיקוד במערכות מאובטחות במסגרת תואר\nשני בהנדסת חשמל ומחשבים, המיועדים להכשרת מומחים בנושא. ההכשרה תכלו'), Document(id='fcccf517-423b-42d3-9af7-7402f8f58e10', metadata={'source': '364-2025.pdf', 'start_index': 4508}, page_content='ונית\nוניהולית לביצוע פרויקטים בלוח זמנים ובתקציב מוגדרים ולהכשיר אחרים.\nהמחלקה להנדסת תעשייה וניהול מכשירה את תלמידיה לקשת רחבה של תפקידים וכיווני התפתחות מקצועיים, כולל:\nמהנדסי מוצר, מנתחי מערכות וקבלת החלטות, מנהלי מערכות מידע, מדעני נתונים ואנליס')]"
104,מה כוללות תכניות הלימוד במחלקה?,[]
105,מה מטרת המחלקה להנדסת תעשייה וניהול ביחס למקצועיות הסטודנטים?,[]
106,מה כולל מבנה לימודי התואר הראשון בהנדסת תעשייה וניהול?,"[Document(id='2f203f7c-6f62-4140-8989-e47ee4a0a41f', metadata={'source': '361-2025.pdf', 'start_index': 45337}, page_content='הנדסת חשמל ומחשבים .\n31\n תוכנית לימודים לתואר ראשון בהנדסת מערכות תקשורת\nמבנה תכנית הלימודים בהנדסת מערכות תקשורת\nתכנית הלימודים לתואר בוגר בהנדסת מערכות תקשורת מחייבת לימוד בהיקף של 162 נקודות זכות )נק""ז ( בקבוצות\nהמקצועות כדלקמן, אשר מורכביםמ - 156 נק""ז ב'), Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,')]"
107,מדוע מדגישים את הגמישות בבחירת קורסים וסדר הלימוד בתוכנית?,"[Document(id='1dddf0d5-f64e-4abf-98e0-1003141f08f3', metadata={'source': '383-2025.pdf', 'start_index': 6505}, page_content='ימוד ומטלות הלימודים עם גמישות מסוימת. במסגרת תוכנית הלימודים תשולב גם למידה מרחוק\nויכולת תקשורת בין אישית באופן רצוף. הלימודים יתקיימו במסגרת לוח השנה האקדמית.\nהלימודים מתקיימים במתכונת של כיתה המחייבת את הסטודנטים ללמוד את כל הקורסים בלוח\nזמנים קשיח. הקור')]"
108,מה הנפח הנקוב של נקודות זכות הנדרש להשלים לתואר?,"[Document(id='367623c4-1536-4a71-ad29-6c3c85fa4d92', metadata={'source': '361-2025.pdf', 'start_index': 129031}, page_content='בחירה של התואר הראשון, אך עליו להשלים\nאת חובות מסלולי ההתמחות השונים בתואר ראשון.\nהערה: במידה והיקף קורסי הבחירה בתואר ראשון נמוךמ–12 נק""ז, ניתן להגיש בקשה לועדת\nהוראה לתואר ראשון לפטור מקורסי חובת מסלול עד להיקף 12 נק""ז )יובהר כי אישור הפטור\nבמקרה כזה כפוף לשיקול דע'), Document(id='0d574079-8ca3-4936-ba9c-94162bc7112e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� רגיל\nלתואר ראשון, בתנאי שטרם השלים את הדרישות המאפשרות לו להיות זכאי לתואר ראשון\nבמסגרת תוכנית מית""ר להנדסה. במקרה זה יתקיימו הכללים הבאים:\n1. הנקודות שנצברו לתואר שני יוכרו כקורסי בחירה לתואר ראשון.\n2. חייב להשלים את סך הנק""ז כהנדרש כמקובל בתואר ראשון.\n118\n 3. ע')]"
109,מהם סוגי הקורסים העיקריים בלימודי התואר הראשון לפי הטבלה?,[]
110,מה כוללת המחלקה להנדסת מכונות באוניברסיטת בן גוריון?,"[Document(id='3728237d-ba5f-4a3e-8c8f-f43bc34a9df7', metadata={'source': '374-2025.pdf', 'start_index': 10946}, page_content='ר לתואר שני בהנדסה סביבתית\nתוכנית לימודים לתואר כפול: הנדסת בניין )התמחות במבנים( ומדעי כדור הארץ והסביבה\nתוכנית זו הינה ייחודית הנלמדת באוניברסיטת בן-גוריון בלבד. התוכנית נוסדה לשם מתן מענה אקדמי לצורכי\nהמדינה בתחום התשתיות הלאומיות, לקראת אתגרי העתיד.')]"
111,מהו תפקידו המרכזי של מהנדס המכונות?,"[Document(id='a9d9fb6b-c999-4db1-bd94-cd71dc72b93e', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='נות אוטומטיות.\nמסלול הבקרה, מכטרוניקה ורובוטיקה מכשיר מהנדסי מכונות עם התמחות בתחום הבקרה. התלמידים\nלומדים את עקרונות התכנון של מערכות בקרה, משלב התכנון ועד שלב המימוש על ידי מערכות מיקרו-\nמחשב. המסלול שם דגש על מערכות רובוטיות. במסגרת זו התלמידים לומדי�')]"
